Date,Impressions
11/21/2022,137
11/22/2022,115
11/23/2022,93
11/24/2022,70
11/25/2022,138
11/26/2022,115
11/27/2022,94
11/28/2022,97
11/29/2022,107
11/30/2022,896
12/1/2022,294
12/2/2022,453
12/3/2022,162
12/4/2022,158
12/5/2022,201
12/6/2022,119
12/7/2022,467
12/8/2022,167
12/9/2022,166
12/10/2022,120
12/11/2022,82
12/12/2022,1479
12/13/2022,313
12/14/2022,102
12/15/2022,956
12/16/2022,330
12/17/2022,127
12/18/2022,80
12/19/2022,76
12/20/2022,81
12/21/2022,71
12/22/2022,52
12/23/2022,59
12/24/2022,67
12/25/2022,27
12/26/2022,28
12/27/2022,28
12/28/2022,36
12/29/2022,18
12/30/2022,3
12/31/2022,5
1/1/2023,7
1/2/2023,1
1/3/2023,9
1/4/2023,583
1/5/2023,536
1/6/2023,174
1/7/2023,86
1/8/2023,50
1/9/2023,398
1/10/2023,411
1/11/2023,258
1/12/2023,973
1/13/2023,4323
1/14/2023,3310
1/15/2023,960
1/16/2023,1069
1/17/2023,1053
1/18/2023,517
1/19/2023,1306
1/20/2023,1384
1/21/2023,558
1/22/2023,421
1/23/2023,552
1/24/2023,591
1/25/2023,350
1/26/2023,937
1/27/2023,642
1/28/2023,358
1/29/2023,298
1/30/2023,182
1/31/2023,555
2/1/2023,259
2/2/2023,512
2/3/2023,621
2/4/2023,257
2/5/2023,130
2/6/2023,166
2/7/2023,579
2/8/2023,245
2/9/2023,990
2/10/2023,223
2/11/2023,224
2/12/2023,210
2/13/2023,416
2/14/2023,278
2/15/2023,426
2/16/2023,1305
2/17/2023,524
2/18/2023,171
2/19/2023,161
2/20/2023,161
2/21/2023,508
2/22/2023,192
2/23/2023,450
2/24/2023,920
2/25/2023,396
2/26/2023,202
2/27/2023,478
2/28/2023,252
3/1/2023,294
3/2/2023,254
3/3/2023,719
3/4/2023,229
3/5/2023,166
3/6/2023,390
3/7/2023,613
3/8/2023,437
3/9/2023,306
3/10/2023,792
3/11/2023,2084
3/12/2023,2432
3/13/2023,2103
3/14/2023,1290
3/15/2023,772
3/16/2023,905
3/17/2023,836
3/18/2023,369
3/19/2023,390
3/20/2023,231
3/21/2023,353
3/22/2023,406
3/23/2023,385
3/24/2023,492
3/25/2023,83
3/26/2023,78
3/27/2023,102
3/28/2023,115
3/29/2023,74
3/30/2023,70
3/31/2023,3414
4/1/2023,1302
4/2/2023,350
4/3/2023,284
4/4/2023,467
4/5/2023,293
4/6/2023,600
4/7/2023,458
4/8/2023,146
4/9/2023,202
4/10/2023,1049
4/11/2023,2359
4/12/2023,833
4/13/2023,393
4/14/2023,1407
4/15/2023,573
4/16/2023,278
4/17/2023,608
4/18/2023,540
4/19/2023,315
4/20/2023,1216
4/21/2023,4909
4/22/2023,10445
4/23/2023,4760
4/24/2023,2657
4/25/2023,2220
4/26/2023,694
4/27/2023,2128
4/28/2023,1539
4/29/2023,872
4/30/2023,1374
5/1/2023,1618
5/2/2023,6146
5/3/2023,4968
5/4/2023,3537
5/5/2023,3071
5/6/2023,2461
5/7/2023,1497
5/8/2023,1666
5/9/2023,1387
5/10/2023,1738
5/11/2023,1951
5/12/2023,2306
5/13/2023,2102
5/14/2023,1971
5/15/2023,1619
5/16/2023,429
5/17/2023,254
5/18/2023,319
5/19/2023,398
5/20/2023,248
5/21/2023,155
5/22/2023,185
5/23/2023,319
5/24/2023,287
5/25/2023,617
5/26/2023,1076
5/27/2023,326
5/28/2023,207
5/29/2023,206
5/30/2023,644
5/31/2023,252
6/1/2023,405
6/2/2023,555
6/3/2023,240
6/4/2023,186
6/5/2023,696
6/6/2023,717
6/7/2023,564
6/8/2023,3079
6/9/2023,1321
6/10/2023,1013
6/11/2023,1048
6/12/2023,745
6/13/2023,2612
6/14/2023,1596
6/15/2023,942
6/16/2023,1250
6/17/2023,437
6/18/2023,284
6/19/2023,248
6/20/2023,1612
6/21/2023,1182
6/22/2023,621
6/23/2023,1413
6/24/2023,1298
6/25/2023,1747
6/26/2023,275
6/27/2023,2237
6/28/2023,2160
6/29/2023,792
6/30/2023,2876
7/1/2023,1058
7/2/2023,506
7/3/2023,471
7/4/2023,646
7/5/2023,564
7/6/2023,766
7/7/2023,1173
7/8/2023,533
7/9/2023,357
7/10/2023,752
7/11/2023,612
7/12/2023,356
7/13/2023,432
7/14/2023,26213
7/15/2023,9750
7/16/2023,2397
7/17/2023,4266
7/18/2023,6504
7/19/2023,9109
7/20/2023,1898
7/21/2023,1071
7/22/2023,511
7/23/2023,9603
7/24/2023,20026
7/25/2023,2158
7/26/2023,6752
7/27/2023,4778
7/28/2023,2103
7/29/2023,603
7/30/2023,452
7/31/2023,457
8/1/2023,329
8/2/2023,503
8/3/2023,525
8/4/2023,403
8/5/2023,203
8/6/2023,173
8/7/2023,1083
8/8/2023,1627
8/9/2023,2693
8/10/2023,1567
8/11/2023,9501
8/12/2023,1699
8/13/2023,529
8/14/2023,998
8/15/2023,719
8/16/2023,688
8/17/2023,2357
8/18/2023,2711
8/19/2023,1331
8/20/2023,1487
8/21/2023,1743
8/22/2023,1723
8/23/2023,1090
8/24/2023,1402
8/25/2023,1727
8/26/2023,916
8/27/2023,510
8/28/2023,14321
8/29/2023,3285
8/30/2023,842
8/31/2023,1120
9/1/2023,1016
9/2/2023,774
9/3/2023,365
9/4/2023,1028
9/5/2023,1304
9/6/2023,968
9/7/2023,1023
9/8/2023,491
9/9/2023,298
9/10/2023,314
9/11/2023,767
9/12/2023,13172
9/13/2023,4255
9/14/2023,1233
9/15/2023,2150
9/16/2023,952
9/17/2023,467
9/18/2023,2340
9/19/2023,992
9/20/2023,919
9/21/2023,431
9/22/2023,1275
9/23/2023,668
9/24/2023,325
9/25/2023,1228
9/26/2023,1582
9/27/2023,1146
9/28/2023,2232
9/29/2023,2736
9/30/2023,1638
10/1/2023,1279
10/2/2023,3223
10/3/2023,3556
10/4/2023,3521
10/5/2023,2630
10/6/2023,3773
10/7/2023,3092
10/8/2023,1453
10/9/2023,2281
10/10/2023,2551
10/11/2023,1400
10/12/2023,617
10/13/2023,3453
10/14/2023,1669
10/15/2023,1279
10/16/2023,2053
10/17/2023,1437
10/18/2023,1458
10/19/2023,2234
10/20/2023,2771
10/21/2023,1151
10/22/2023,776
10/23/2023,1265
10/24/2023,1694
10/25/2023,1600
10/26/2023,1164
10/27/2023,1834
10/28/2023,806
10/29/2023,394
10/30/2023,705
10/31/2023,1193
11/1/2023,1344
11/2/2023,1447
11/3/2023,1769
11/4/2023,838
11/5/2023,546
11/6/2023,1078
11/7/2023,816
11/8/2023,738
11/9/2023,794
11/10/2023,1710
11/11/2023,1164
11/12/2023,918
11/13/2023,1660
11/14/2023,1471
11/15/2023,1271
11/16/2023,1246
11/17/2023,1012
11/18/2023,502
11/19/2023,331
11/20/2023,502