period_start,followers_gained
2023-11-01,111
2023-10-01,1783
2023-09-01,760
2023-08-01,171
2023-07-01,165
2023-06-01,131
2023-05-01,55
2023-04-01,48
2023-03-01,109
2023-02-01,79
2023-01-01,87
2022-12-01,58
2022-11-01,84
2022-10-01,43
2022-09-01,85
2022-08-01,36
2022-07-01,29
2022-06-01,79
2022-05-01,31
2022-04-01,25
2022-03-01,25
2022-02-01,29
2022-01-01,25
2021-12-01,21
2021-11-01,25
2021-10-01,58
2021-09-01,18
2021-08-01,5
2021-07-01,7
2021-06-01,11
2021-05-01,4
2021-04-01,7
2021-03-01,5
2021-02-01,3
2021-01-01,2
2020-12-01,1
2020-11-01,1